"WorkLoad","Exclude"
"Azure Information Protection","0"
"Dynamics 365","0"
"Dynamics 365 for Operations","0"
"Exchange Online","0"
"Identity Service","0"
"Microsoft Intune","0"
"Microsoft StaffHub","0"
"Microsoft Teams","0"
"Mobile Device Management for Office 365","0"
"Office 365 Portal","0"
"Office Online","0"
"Office Subscription","0"
"OneDrive for Business","0"
"Planner","0"
"Power BI","0"
"SharePoint Online","0"
"Skype for Business","0"
"Social Engagement","0"
"Sway","0"
"Yammer Enterprise","0"
